J2015010200292384   2 344464   5 1392412   7  186 1605V   411   3317A_»³ÄºÉÕ¶á¡£             18K
J2015010218001705   3 344266   5 1392750  10  200 1306V   411   3317A_ÅìÉô¡£                  8K
J2015010218425277   3 344265   5 1392743   9  210 1608V   411   3317A_ÅìÉô¡£                 10K
J2015010222525433   2 344263   4 1392742   7  245 1501V   411   3317A_ÅìÉô¡£                  8K
J2015010222592096   5 344263   9 1392732  16  223 3102V   411   3317A_ÅìÉô¡£                  8K
J2015010302335468   4 344263   8 1392742  15  233 2910V   411   3317A_ÅìÉô¡£                  8K
J2015010302341285   5 344264  10 1392749  19  269 3313V   411   3317A_ÅìÉô¡£                 12K
J2015010302515212   4 344258   9 1392713  15  222 3002V   411   3317A_ÅìÉô¡£                  7K
J2015010302541412   5 344266   9 1392742  17  243 3409V   411   3317A_ÅìÉô¡£                  8K
J2015010303202414   5 344262   9 1392721  16  221 3105V   411   3317A_ÅìÉô¡£                  9K
J2015010303364521   4 344265   8 1392717  14  196 2704V   411   3317A_ÅìÉô¡£                  8K
J2015010306121210   5 344269  10 1392734  18  197 3306V   411   3317A_ÅìÉô¡£                  8K
J2015010307173523   6 344276   7 1392763  18  217 2205V   411   3317A_ÅìÉô¡£                  7K
J2015010315222589   6 344288   8 1392721  17  195 2200V   411   3317A_ÅìÉô¡£                 10K
J2015010409155606   7 344461  11 1392012  23  388 3920V   411   3317A_À¾Êý²­¡£               27K
J2015010418295777   2 344379   6 1392378   3  200 17-7V   411   3317A_»³ÄºÉÕ¶á¡£              6K
J2015010502171361   6 344482   9 1392101  22  395 3200V   411   3317A_À¾Êý²­¡£               17K
J2015010521470639   3 344433   9 1392320   6  152 20-9V   411   3317A_»³ÄºÉÕ¶á¡£              9K
J2015010622563322   1 344507   4 1392404   5  177 10-7V   411   3317A_»³ÄºÉÕ¶á¡£              9K
J2015010800464767   1 344391   5 1392381   3  220  7-3V   411   3317A_»³ÄºÉÕ¶á¡£              8K
